County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Apache,0.35,0.65,6441.00,26240.00,39789.00,0.34,0.62,6652.00,25940.00,41425.00,0.32,0.66,7597.00,26529.00,45868.00,0.30,0.63,8241.00,27638.00,48240.00,0.32,0.66,10241.00,28531.00,51906.00
Cochise,0.60,0.39,23519.00,22326.00,59531.00,0.59,0.38,27470.00,23397.00,70715.00,0.60,0.38,30257.00,22577.00,80372.00,0.57,0.35,28296.00,20121.00,75157.00,0.59,0.39,32944.00,21521.00,82022.00
Coconino,0.43,0.56,20239.00,28981.00,71935.00,0.40,0.57,19387.00,29124.00,69855.00,0.41,0.57,18624.00,26855.00,69598.00,0.36,0.55,20490.00,32404.00,81461.00,0.37,0.61,23816.00,38601.00,90669.00
Gila,0.59,0.40,9318.00,13053.00,26768.00,0.62,0.35,11263.00,13494.00,31132.00,0.63,0.36,12121.00,11369.00,32161.00,0.64,0.31,12250.00,9083.00,29566.00,0.66,0.32,16073.00,8965.00,34001.00
Graham,0.70,0.30,5158.00,7504.00,14782.00,0.69,0.29,6872.00,7622.00,17282.00,0.68,0.30,7514.00,6009.00,17252.00,0.66,0.27,7961.00,5449.00,17806.00,0.72,0.27,9799.00,5118.00,19851.00
Greenlee,0.62,0.37,895.00,3176.00,4519.00,0.58,0.39,991.00,2710.00,4337.00,0.54,0.44,1091.00,2283.00,4362.00,0.58,0.33,1328.00,2038.00,4702.00,0.66,0.32,1764.00,1684.00,4866.00
La Paz,0.62,0.37,2814.00,2703.00,7235.00,0.62,0.34,3059.00,2789.00,8195.00,0.65,0.33,3499.00,2659.00,9757.00,0.68,0.27,3420.00,2138.00,8884.00,0.69,0.30,4916.00,2303.00,10909.00
Maricopa,0.57,0.42,676080.00,480058.00,1552421.00,0.54,0.44,692077.00,543899.00,1730886.00,0.54,0.44,685627.00,509540.00,1817832.00,0.46,0.44,767484.00,617685.00,2161716.00,0.48,0.50,915227.00,814343.00,2595272.00
Mohave,0.64,0.35,42142.00,27772.00,95034.00,0.64,0.32,43795.00,28061.00,105200.00,0.70,0.28,47134.00,24911.00,115510.00,0.73,0.22,50390.00,20557.00,115339.00,0.75,0.24,70310.00,21648.00,135180.00
Navajo,0.53,0.46,19227.00,26387.00,57738.00,0.54,0.43,19007.00,25785.00,58528.00,0.53,0.45,19134.00,24435.00,59547.00,0.52,0.42,20789.00,25196.00,63943.00,0.53,0.45,25084.00,26448.00,70650.00
Pima,0.47,0.53,147838.00,177781.00,448050.00,0.46,0.52,157715.00,199441.00,496667.00,0.46,0.53,154358.00,186040.00,495647.00,0.40,0.54,163482.00,206856.00,544270.00,0.40,0.58,185946.00,257678.00,638355.00
Pinal,0.57,0.42,30675.00,37541.00,91093.00,0.56,0.42,50111.00,51956.00,145704.00,0.57,0.41,52118.00,44623.00,153056.00,0.57,0.37,65453.00,51049.00,189462.00,0.58,0.40,94814.00,66672.00,248874.00
Santa Cruz,0.40,0.59,4266.00,12041.00,20791.00,0.33,0.64,3931.00,11816.00,21287.00,0.30,0.68,4056.00,12227.00,24062.00,0.24,0.72,4206.00,13352.00,26276.00,0.32,0.67,5090.00,15122.00,29963.00
Yavapai,0.61,0.38,47712.00,25614.00,99842.00,0.61,0.37,54171.00,30431.00,118923.00,0.64,0.34,55369.00,26664.00,124156.00,0.63,0.31,61907.00,28624.00,137390.00,0.64,0.35,80521.00,35535.00,165361.00
Yuma,0.58,0.42,18928.00,23087.00,53803.00,0.56,0.42,22086.00,25787.00,67315.00,0.56,0.43,22493.00,26210.00,75532.00,0.48,0.47,23917.00,29133.00,84254.00,0.52,0.46,32233.00,34155.00,103273.00
