County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Adams,0.48,0.51,64958.00,77552.00,220630.00,0.40,0.58,57177.00,82168.00,220082.00,0.40,0.57,50398.00,70328.00,187028.00,0.41,0.50,60525.00,85102.00,236666.00,0.40,0.57,63671.00,94911.00,286782.00
Alamosa,0.51,0.48,3183.00,3543.00,9395.00,0.42,0.56,2753.00,3566.00,8812.00,0.40,0.57,2266.00,2919.00,7123.00,0.44,0.46,2485.00,3243.00,8382.00,0.49,0.48,2716.00,3168.00,9422.00
Arapahoe,0.51,0.47,136870.00,108987.00,372631.00,0.43,0.56,114368.00,120181.00,344455.00,0.44,0.54,100844.00,106306.00,309319.00,0.39,0.53,106773.00,122414.00,361338.00,0.36,0.61,98006.00,135640.00,408470.00
Archuleta,0.62,0.37,4716.00,1812.00,8556.00,0.55,0.43,4761.00,2191.00,9277.00,0.58,0.40,3527.00,1662.00,7120.00,0.58,0.34,4128.00,1993.00,8638.00,0.57,0.41,4299.00,2182.00,10494.00
Baca,0.77,0.22,1347.00,1214.00,3021.00,0.72,0.25,1276.00,1021.00,2880.00,0.75,0.22,1181.00,693.00,2326.00,0.81,0.13,1294.00,605.00,2525.00,0.84,0.14,1369.00,394.00,2632.00
Bent,0.62,0.36,1068.00,1363.00,3210.00,0.56,0.42,881.00,1105.00,2727.00,0.56,0.42,809.00,778.00,2108.00,0.62,0.31,918.00,794.00,2418.00,0.66,0.32,1096.00,679.00,2788.00
Boulder,0.32,0.66,52919.00,78864.00,218459.00,0.26,0.72,44386.00,90719.00,218311.00,0.28,0.70,36777.00,80770.00,186982.00,0.22,0.70,36603.00,95628.00,211653.00,0.21,0.77,30438.00,100041.00,228280.00
Broomfield,0.52,0.47,11551.00,8712.00,31434.00,0.43,0.55,12130.00,10839.00,36242.00,0.46,0.52,11332.00,10159.00,33905.00,0.38,0.52,12550.00,13020.00,42592.00,0.35,0.62,12043.00,15778.00,51528.00
Chaffee,0.56,0.43,5492.00,3249.00,12340.00,0.49,0.49,4933.00,3543.00,12629.00,0.49,0.49,4345.00,3062.00,11116.00,0.48,0.43,4639.00,3496.00,12793.00,0.45,0.52,4582.00,3962.00,15096.00
Cheyenne,0.81,0.17,1003.00,324.00,1683.00,0.80,0.18,916.00,230.00,1433.00,0.82,0.16,775.00,155.00,1167.00,0.84,0.12,835.00,158.00,1287.00,0.87,0.12,840.00,114.00,1273.00
