County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Alachua,0.43,0.56,36589,72592,143814,0.39,0.6,43488,82454,158347,0.4,0.58,47068,80668,165932,0.36,0.59,50371,85519,179036,0.36,0.63,51901,94994,193066
Baker,0.78,0.22,3004,8956,13001,0.78,0.21,5336,7899,14337,0.79,0.2,6155,6834,14271,0.81,0.17,7827,5933,15395,0.85,0.14,10598,4461,17166
Bay,0.71,0.28,43676,40137,103129,0.7,0.29,52749,39798,112254,0.71,0.28,56756,35414,114108,0.71,0.25,61441,31879,118929,0.71,0.27,67718,30089,126875
Bradford,0.7,0.3,4110,9054,14870,0.7,0.29,5652,8450,15836,0.7,0.29,6312,7440,15656,0.74,0.24,7309,6454,16115,0.76,0.23,9505,5530,17822
Brevard,0.58,0.42,149387,124668,341614,0.55,0.44,154434,133221,356819,0.56,0.43,162590,132273,383075,0.58,0.38,174281,131710,414719,0.57,0.41,194779,139268,457417
Broward,0.35,0.64,279264,539792,1070755,0.32,0.67,246885,546823,1029797,0.32,0.67,259593,597055,1146455,0.31,0.67,257746,602604,1189124,0.35,0.64,272538,637992,1279468
Calhoun,0.63,0.35,978,6878,8375,0.69,0.29,1407,6689,8666,0.71,0.27,1629,5903,8241,0.77,0.2,2266,5413,8609,0.81,0.18,3657,4069,8782
Charlotte,0.56,0.43,50744,36285,114016,0.53,0.46,51466,38944,119392,0.57,0.42,50105,35713,115946,0.62,0.35,56777,36242,129043,0.63,0.36,70965,40002,153190
Citrus,0.57,0.42,37386,35460,91425,0.57,0.41,43084,38002,103499,0.6,0.38,42305,32035,97354,0.68,0.29,49288,30532,106500,0.7,0.29,60774,28667,118152
Clay,0.76,0.23,59052,27589,107851,0.71,0.28,68606,32322,123632,0.72,0.27,73712,31976,133655,0.7,0.26,80640,32230,147749,0.68,0.31,89967,36820,165548
Collier,0.65,0.34,88621,41393,170114,0.61,0.38,102130,52871,204075,0.65,0.35,94373,45771,184593,0.62,0.36,104121,48762,205367,0.62,0.37,121473,58685,239946
Columbia,0.67,0.32,10544,19463,34728,0.66,0.33,13759,19843,38937,0.68,0.31,14646,16256,36367,0.71,0.26,16678,14566,38060,0.72,0.27,22419,13800,44577
DeSoto,0.58,0.41,3786,8893,15012,0.55,0.43,4199,8949,15688,0.57,0.42,4776,8578,16452,0.63,0.35,5126,7499,15999,0.66,0.34,7042,6644,17918
Dixie,0.69,0.3,1383,7510,9710,0.71,0.26,2192,7450,10797,0.73,0.26,2784,6106,10204,0.81,0.18,3686,4737,9992,0.83,0.17,5740,3127,10660
Duval,0.58,0.42,183072,238849,517041,0.51,0.49,199089,249816,546902,0.51,0.48,209195,243224,565949,0.49,0.48,221847,242957,593712,0.47,0.51,239984,279600,673451
Escambia,0.65,0.34,81282,77892,192058,0.59,0.4,86509,80563,199774,0.6,0.39,88648,74576,201037,0.58,0.38,94804,73213,211798,0.57,0.42,104272,78795,235572
Flagler,0.51,0.48,18742,18087,47499,0.49,0.5,22506,23412,61347,0.53,0.46,25766,24628,69926,0.59,0.38,31697,25370,79739,0.6,0.39,40582,28291,92869
