County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Alamance,0.61,0.38,26668.00,34861.00,74158.00,0.54,0.45,30529.00,41418.00,90198.00,0.56,0.43,32182.00,41610.00,96868.00,0.55,0.42,33024.00,39385.00,100802.00,0.54,0.45,36271.00,39209.00,110926.00
Alexander,0.70,0.30,10477.00,9245.00,23418.00,0.68,0.30,10813.00,8566.00,24380.00,0.71,0.27,10783.00,7568.00,24382.00,0.76,0.21,10726.00,6553.00,24397.00,0.79,0.20,11775.00,5105.00,24953.00
Alleghany,0.60,0.40,1879.00,3542.00,6177.00,0.59,0.38,2279.00,3620.00,7274.00,0.67,0.31,2433.00,3258.00,7394.00,0.72,0.25,2552.00,2818.00,7467.00,0.75,0.24,2984.00,2156.00,7609.00
Anson,0.41,0.59,2109.00,11233.00,14768.00,0.39,0.60,2281.00,12221.00,16323.00,0.37,0.62,2436.00,12619.00,17276.00,0.43,0.56,2450.00,11941.00,17412.00,0.48,0.52,2867.00,10125.00,16732.00
Ashe,0.62,0.38,7961.00,7222.00,17829.00,0.61,0.37,8694.00,7679.00,20423.00,0.65,0.33,8039.00,6496.00,19056.00,0.70,0.26,8041.00,5667.00,19009.00,0.72,0.26,8875.00,4502.00,19545.00
Avery,0.75,0.24,7579.00,1554.00,11299.00,0.71,0.28,7962.00,1834.00,12624.00,0.74,0.24,7299.00,1626.00,11982.00,0.76,0.20,7032.00,1494.00,11966.00,0.76,0.23,7161.00,1428.00,12355.00
Beaufort,0.64,0.36,8763.00,16918.00,29381.00,0.59,0.41,9672.00,16868.00,32135.00,0.59,0.40,10319.00,15745.00,33080.00,0.61,0.37,10729.00,13880.00,33292.00,0.62,0.37,12094.00,11952.00,34090.00
Bertie,0.38,0.61,1325.00,11833.00,14075.00,0.35,0.65,1394.00,11670.00,14388.00,0.33,0.66,1485.00,11413.00,14764.00,0.37,0.62,1537.00,10303.00,14238.00,0.39,0.61,1631.00,8767.00,13335.00
Bladen,0.50,0.50,2724.00,14479.00,19691.00,0.49,0.51,3023.00,15787.00,22273.00,0.49,0.51,3020.00,15360.00,23032.00,0.54,0.44,3443.00,13693.00,23036.00,0.57,0.43,4956.00,10752.00,22855.00
Brunswick,0.60,0.39,20582.00,24422.00,55764.00,0.58,0.41,27737.00,29517.00,75827.00,0.61,0.38,30544.00,27788.00,83056.00,0.63,0.34,35357.00,27038.00,95044.00,0.62,0.37,45501.00,27185.00,114745.00
Buncombe,0.50,0.49,45490.00,65078.00,141029.00,0.42,0.56,49510.00,78006.00,175359.00,0.43,0.55,49053.00,78023.00,186881.00,0.40,0.54,47613.00,78065.00,197792.00,0.39,0.60,47587.00,77672.00,207375.00
Burke,0.62,0.38,19143.00,22522.00,51718.00,0.59,0.40,20440.00,23332.00,57088.00,0.61,0.37,20563.00,21971.00,58720.00,0.67,0.29,20618.00,19313.00,58488.00,0.70,0.29,22702.00,15402.00,58309.00
Cabarrus,0.67,0.33,37556.00,33173.00,87984.00,0.59,0.40,44297.00,39988.00,109599.00,0.59,0.39,46345.00,40427.00,118959.00,0.58,0.38,49216.00,41286.00,132234.00,0.54,0.45,52563.00,44766.00,150595.00
Caldwell,0.68,0.32,21009.00,16639.00,45234.00,0.64,0.34,24178.00,18810.00,53660.00,0.67,0.31,24299.00,17233.00,54413.00,0.73,0.23,24739.00,15122.00,55312.00,0.75,0.24,26552.00,11396.00,54780.00
Camden,0.65,0.35,1322.00,3298.00,5894.00,0.65,0.33,1900.00,3229.00,7168.00,0.66,0.32,2071.00,3047.00,7512.00,0.71,0.25,2342.00,2500.00,7684.00,0.72,0.26,2894.00,1759.00,8167.00
Carteret,0.69,0.30,17101.00,16471.00,42549.00,0.67,0.32,19590.00,16250.00,47962.00,0.70,0.29,20958.00,14916.00,50752.00,0.70,0.26,22127.00,12915.00,52790.00,0.70,0.28,23502.00,10076.00,51774.00
Caswell,0.52,0.48,2578.00,9496.00,13911.00,0.48,0.51,3125.00,9666.00,15405.00,0.51,0.48,3437.00,9237.00,15944.00,0.54,0.43,3675.00,8261.00,15784.00,0.59,0.40,3931.00,6924.00,15513.00
Catawba,0.67,0.32,44704.00,32128.00,94752.00,0.62,0.37,46399.00,33288.00,104521.00,0.64,0.35,45127.00,30861.00,104289.00,0.67,0.29,44718.00,27436.00,104344.00,0.68,0.31,47694.00,23167.00,108863.00
Chatham,0.50,0.50,9410.00,18174.00,33764.00,0.45,0.54,11056.00,21017.00,42564.00,0.47,0.52,12180.00,20764.00,46406.00,0.43,0.53,13084.00,20696.00,51202.00,0.44,0.55,14198.00,21343.00,57929.00
Cherokee,0.67,0.32,8062.00,8063.00,19265.00,0.69,0.30,8647.00,7540.00,20798.00,0.72,0.26,9105.00,7182.00,22153.00,0.76,0.20,9941.00,6550.00,23841.00,0.77,0.22,10919.00,4271.00,22680.00
Chowan,0.55,0.45,1997.00,5548.00,8653.00,0.50,0.49,2376.00,6117.00,10550.00,0.52,0.47,2564.00,5762.00,10803.00,0.56,0.41,2609.00,5105.00,10390.00,0.57,0.42,2891.00,4197.00,10259.00
Clay,0.66,0.33,3052.00,2833.00,7337.00,0.67,0.31,3396.00,2939.00,8489.00,0.70,0.28,3502.00,2709.00,9081.00,0.74,0.23,3626.00,2228.00,9032.00,0.74,0.25,4184.00,1634.00,9131.00
Cleveland,0.61,0.38,16248.00,29429.00,53280.00,0.59,0.40,19109.00,31382.00,61517.00,0.60,0.39,19554.00,29838.00,63391.00,0.64,0.34,20397.00,26800.00,63704.00,0.66,0.33,24938.00,23065.00,67725.00
Columbus,0.51,0.49,5555.00,25417.00,35716.00,0.53,0.46,6110.00,26424.00,38808.00,0.53,0.46,6297.00,24474.00,37915.00,0.60,0.38,6665.00,21446.00,36548.00,0.64,0.36,9567.00,16971.00,37050.00
Craven,0.62,0.37,19489.00,26021.00,56283.00,0.57,0.42,23376.00,29246.00,68185.00,0.58,0.41,24353.00,28404.00,71762.00,0.59,0.38,24731.00,25410.00,71821.00,0.58,0.40,26640.00,21922.00,72856.00
Cumberland,0.52,0.48,44844.00,84362.00,163465.00,0.41,0.59,53504.00,108988.00,210796.00,0.40,0.59,51239.00,109247.00,214280.00,0.40,0.56,47992.00,97363.00,207864.00,0.41,0.57,52493.00,98034.00,226653.00
Currituck,0.67,0.32,4010.00,5821.00,13708.00,0.65,0.34,5234.00,5719.00,16516.00,0.66,0.32,5899.00,5059.00,17749.00,0.72,0.23,6739.00,4179.00,18878.00,0.72,0.26,8879.00,3659.00,21832.00
Dare,0.60,0.39,6847.00,9569.00,21859.00,0.55,0.44,7974.00,10741.00,27040.00,0.57,0.41,8411.00,10250.00,28242.00,0.58,0.37,8888.00,9277.00,29494.00,0.58,0.41,10135.00,7856.00,30128.00
Davidson,0.71,0.29,41766.00,31732.00,86455.00,0.66,0.33,47017.00,34558.00,101326.00,0.70,0.29,48530.00,31455.00,105227.00,0.73,0.24,49220.00,27709.00,105681.00,0.73,0.26,54976.00,24025.00,113790.00
Davie,0.74,0.25,12512.00,5818.00,21679.00,0.69,0.30,14697.00,6509.00,26791.00,0.71,0.28,15017.00,6307.00,28321.00,0.72,0.24,15119.00,5725.00,29456.00,0.72,0.27,16255.00,5131.00,31481.00
Duplin,0.58,0.42,6016.00,14950.00,24380.00,0.54,0.45,6940.00,16383.00,28765.00,0.55,0.44,7598.00,15876.00,29993.00,0.59,0.40,8157.00,14454.00,30125.00,0.61,0.39,9033.00,12476.00,30503.00
Durham,0.32,0.68,34389.00,96006.00,161573.00,0.24,0.76,30563.00,118447.00,193306.00,0.23,0.76,30160.00,124844.00,211453.00,0.18,0.78,29743.00,128966.00,231115.00,0.18,0.80,26851.00,132450.00,244574.00
Edgecombe,0.39,0.61,5904.00,27834.00,36181.00,0.33,0.67,5903.00,29735.00,38885.00,0.32,0.68,6160.00,29710.00,39741.00,0.33,0.65,6177.00,27356.00,38399.00,0.36,0.63,6502.00,23402.00,35801.00
Forsyth,0.54,0.46,73796.00,88089.00,194181.00,0.44,0.55,74542.00,102829.00,222147.00,0.46,0.53,78746.00,109905.00,246859.00,0.43,0.53,76895.00,106369.00,255381.00,0.42,0.56,76441.00,106952.00,271904.00
Franklin,0.55,0.44,8413.00,15162.00,27476.00,0.50,0.49,10866.00,18929.00,36285.00,0.51,0.47,12106.00,19307.00,40104.00,0.54,0.42,13170.00,18597.00,43473.00,0.56,0.43,15170.00,17408.00,47720.00
