County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Baker,0.69,0.29,4989.00,3194.00,10335.00,0.64,0.32,4835.00,3188.00,10496.00,0.68,0.28,4735.00,2600.00,10167.00,0.71,0.20,5417.00,2157.00,11164.00,0.74,0.24,5926.00,2064.00,12537.00
Benton,0.40,0.58,16753.00,19866.00,50199.00,0.33,0.64,15010.00,24524.00,52085.00,0.33,0.62,14331.00,22497.00,52299.00,0.28,0.60,14211.00,26452.00,58361.00,0.28,0.68,13091.00,26981.00,60675.00
Clackamas,0.50,0.49,88242.00,84587.00,229452.00,0.44,0.54,80894.00,93001.00,227750.00,0.47,0.50,79442.00,86498.00,229441.00,0.41,0.48,83271.00,97561.00,268787.00,0.43,0.54,87848.00,106497.00,308827.00
Clatsop,0.44,0.54,7001.00,9286.00,22173.00,0.39,0.58,6401.00,9787.00,21936.00,0.41,0.55,6325.00,8907.00,21688.00,0.41,0.47,6671.00,9504.00,24946.00,0.43,0.54,7629.00,10454.00,30457.00
Columbia,0.48,0.50,8807.00,12190.00,27827.00,0.42,0.54,8618.00,13115.00,28939.00,0.45,0.50,8758.00,11889.00,29049.00,0.50,0.38,9820.00,12271.00,34244.00,0.53,0.43,11578.00,12321.00,40327.00
Coos,0.55,0.43,13962.00,15610.00,38704.00,0.50,0.47,12811.00,15418.00,37235.00,0.51,0.45,12355.00,13097.00,34919.00,0.57,0.33,13412.00,12687.00,40326.00,0.59,0.38,15828.00,12277.00,47810.00
Crook,0.68,0.30,5238.00,3679.00,11456.00,0.62,0.35,5419.00,3853.00,12233.00,0.66,0.30,5632.00,3326.00,12290.00,0.70,0.22,6698.00,3320.00,15224.00,0.73,0.25,8730.00,3405.00,19265.00
Curry,0.57,0.41,6328.00,5013.00,14544.00,0.54,0.42,6004.00,4947.00,14220.00,0.57,0.40,5702.00,4339.00,13858.00,0.57,0.34,5776.00,4445.00,15865.00,0.57,0.41,6330.00,4595.00,18713.00
Deschutes,0.56,0.42,35676.00,27038.00,84407.00,0.49,0.49,35766.00,32827.00,92608.00,0.52,0.45,36777.00,31118.00,97336.00,0.46,0.43,41289.00,38927.00,122210.00,0.44,0.53,46435.00,47791.00,152679.00
Douglas,0.65,0.33,30196.00,22008.00,67345.00,0.58,0.38,28787.00,22428.00,65844.00,0.62,0.34,27685.00,18770.00,62582.00,0.65,0.26,29168.00,17846.00,71460.00,0.67,0.30,33888.00,17363.00,84145.00
Gilliam,0.66,0.33,566.00,422.00,1262.00,0.58,0.39,545.00,425.00,1254.00,0.60,0.35,574.00,351.00,1240.00,0.66,0.23,572.00,315.00,1275.00,0.71,0.28,620.00,267.00,1401.00
Grant,0.79,0.19,2392.00,1374.00,4756.00,0.71,0.26,2288.00,1273.00,4558.00,0.75,0.22,2332.00,1084.00,4501.00,0.74,0.17,2566.00,1048.00,5138.00,0.77,0.20,2774.00,898.00,5529.00
Harney,0.76,0.23,2260.00,1171.00,4174.00,0.70,0.26,2269.00,1125.00,4283.00,0.73,0.23,2269.00,996.00,4292.00,0.73,0.17,2466.00,944.00,4768.00,0.78,0.20,2811.00,860.00,5508.00
Hood River,0.42,0.57,3665.00,4392.00,11340.00,0.33,0.64,3226.00,5053.00,11355.00,0.35,0.62,3111.00,4918.00,11657.00,0.30,0.60,3138.00,5765.00,13553.00,0.30,0.67,3192.00,6465.00,15791.00
Jackson,0.55,0.43,51526.00,41406.00,122996.00,0.49,0.49,46685.00,44244.00,119645.00,0.51,0.46,45299.00,40343.00,120018.00,0.49,0.41,47817.00,45179.00,140543.00,0.50,0.47,51566.00,47384.00,161594.00
Jefferson,0.59,0.40,4117.00,3308.00,9597.00,0.53,0.44,4064.00,3582.00,10091.00,0.57,0.40,4006.00,3193.00,10042.00,0.58,0.32,4581.00,3270.00,12607.00,0.60,0.37,5628.00,3464.00,16128.00
Josephine,0.62,0.36,23138.00,15018.00,50557.00,0.55,0.41,22381.00,16554.00,52301.00,0.59,0.37,21817.00,14551.00,51856.00,0.60,0.30,23121.00,15272.00,60404.00,0.61,0.36,25456.00,15071.00,68959.00
Klamath,0.72,0.26,18246.00,10720.00,36846.00,0.65,0.32,17148.00,10372.00,35360.00,0.68,0.30,16945.00,8841.00,34677.00,0.67,0.24,17600.00,8475.00,39802.00,0.69,0.28,20211.00,8756.00,49375.00
Lake,0.78,0.21,2530.00,1236.00,4485.00,0.72,0.26,2294.00,1155.00,4200.00,0.76,0.21,2364.00,939.00,4245.00,0.77,0.16,2508.00,813.00,4746.00,0.80,0.18,2845.00,696.00,5431.00
Lane,0.40,0.58,64264.00,87718.00,206947.00,0.35,0.62,59240.00,100816.00,210799.00,0.36,0.60,58887.00,93325.00,214938.00,0.35,0.54,60833.00,104554.00,242617.00,0.36,0.60,63868.00,108156.00,274665.00
Lincoln,0.42,0.57,8832.00,12007.00,28477.00,0.37,0.60,7780.00,12844.00,27789.00,0.38,0.58,7445.00,11727.00,27603.00,0.40,0.50,7856.00,12586.00,32103.00,0.41,0.57,8856.00,13572.00,38440.00
Linn,0.60,0.38,25015.00,21227.00,60837.00,0.54,0.43,24850.00,23074.00,63481.00,0.56,0.40,24681.00,20417.00,63359.00,0.57,0.31,27366.00,21738.00,76279.00,0.60,0.37,33363.00,22814.00,94188.00
Malheur,0.75,0.24,6861.00,3406.00,12810.00,0.69,0.28,6547.00,3269.00,12687.00,0.69,0.28,6208.00,2840.00,12492.00,0.69,0.22,6154.00,2620.00,14165.00,0.69,0.28,6479.00,2502.00,16812.00
Marion,0.54,0.44,60324.00,52029.00,146243.00,0.47,0.50,56525.00,58433.00,149708.00,0.50,0.47,55913.00,54132.00,151408.00,0.46,0.42,58681.00,59476.00,182085.00,0.48,0.49,64062.00,64070.00,215012.00
Morrow,0.66,0.33,2027.00,1732.00,5108.00,0.62,0.35,1967.00,1586.00,4888.00,0.65,0.31,2023.00,1405.00,4934.00,0.65,0.24,2070.00,1264.00,5540.00,0.70,0.27,2489.00,1211.00,6779.00
Multnomah,0.27,0.72,90638.00,205653.00,413502.00,0.21,0.77,73935.00,244372.00,426580.00,0.21,0.75,69624.00,237218.00,446240.00,0.17,0.73,65769.00,276127.00,504955.00,0.18,0.79,65576.00,302871.00,572333.00
Polk,0.55,0.44,17704.00,13789.00,41294.00,0.49,0.48,17003.00,15961.00,42764.00,0.51,0.46,16942.00,15004.00,43624.00,0.47,0.41,18024.00,16815.00,51861.00,0.49,0.47,19641.00,17925.00,60775.00
Sherman,0.63,0.35,590.00,430.00,1266.00,0.61,0.37,594.00,402.00,1237.00,0.66,0.31,598.00,348.00,1220.00,0.72,0.20,601.00,288.00,1241.00,0.76,0.22,708.00,265.00,1437.00
Tillamook,0.50,0.48,5652.00,6727.00,16280.00,0.43,0.53,5044.00,6814.00,15556.00,0.45,0.50,4912.00,6012.00,14997.00,0.47,0.42,5327.00,6181.00,17420.00,0.49,0.48,6138.00,6519.00,20732.00
Umatilla,0.65,0.34,14352.00,10475.00,32895.00,0.60,0.37,13309.00,10186.00,32234.00,0.62,0.34,13411.00,9113.00,33111.00,0.62,0.28,14034.00,8895.00,38868.00,0.64,0.32,15887.00,9004.00,46898.00
