County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Adams,0.67,0.33,32137.00,18100.00,58025.00,0.59,0.40,32513.00,21085.00,62075.00,0.63,0.36,32360.00,19791.00,61156.00,0.66,0.30,35990.00,20173.00,66718.00,0.66,0.32,40781.00,20063.00,72388.00
Allegheny,0.42,0.57,262692.00,557900.00,918877.00,0.42,0.57,256320.00,595222.00,956096.00,0.42,0.57,250279.00,556819.00,924351.00,0.40,0.57,259534.00,539900.00,924631.00,0.39,0.60,267832.00,539595.00,942256.00
Armstrong,0.61,0.39,20739.00,20442.00,45261.00,0.62,0.37,20758.00,20521.00,45521.00,0.68,0.31,20374.00,17582.00,42147.00,0.74,0.23,22120.00,15782.00,42552.00,0.76,0.23,25979.00,13659.00,44826.00
Beaver,0.48,0.51,37538.00,73401.00,122350.00,0.51,0.48,36247.00,70859.00,118311.00,0.53,0.46,37114.00,65739.00,115157.00,0.58,0.39,40793.00,59241.00,113598.00,0.58,0.41,47214.00,54281.00,116951.00
Bedford,0.73,0.27,19395.00,11033.00,32878.00,0.72,0.27,19746.00,11731.00,34194.00,0.77,0.22,19371.00,10072.00,32189.00,0.83,0.15,21731.00,9465.00,34460.00,0.84,0.16,23729.00,7264.00,34239.00
Berks,0.53,0.46,98170.00,103541.00,235166.00,0.45,0.54,96970.00,125769.00,259102.00,0.50,0.49,93598.00,120547.00,250356.00,0.53,0.43,100782.00,120217.00,259800.00,0.53,0.45,110405.00,118375.00,272244.00
Blair,0.66,0.33,46047.00,26213.00,80598.00,0.62,0.37,45929.00,29599.00,84404.00,0.66,0.32,46300.00,28771.00,85328.00,0.71,0.25,44360.00,24080.00,77834.00,0.71,0.28,48499.00,22055.00,80495.00
Bradford,0.66,0.33,22509.00,10624.00,37152.00,0.58,0.40,23477.00,12387.00,40171.00,0.62,0.37,23282.00,12163.00,40490.00,0.71,0.25,22376.00,10479.00,37649.00,0.72,0.27,24254.00,9475.00,38862.00
Bucks,0.48,0.51,208639.00,173803.00,451899.00,0.45,0.54,184410.00,195821.00,444921.00,0.49,0.50,178415.00,189111.00,435606.00,0.48,0.49,188625.00,198007.00,460832.00,0.47,0.52,198632.00,208890.00,488018.00
Butler,0.64,0.35,57737.00,42466.00,112943.00,0.63,0.36,60210.00,47133.00,121730.00,0.67,0.32,62863.00,43970.00,122762.00,0.66,0.29,69603.00,42272.00,129728.00,0.66,0.33,79579.00,43592.00,143222.00
Cambria,0.51,0.49,28849.00,56390.00,91769.00,0.49,0.49,28284.00,57025.00,92447.00,0.58,0.40,27944.00,51205.00,86988.00,0.67,0.30,32756.00,45378.00,86848.00,0.68,0.31,40727.00,38164.00,88246.00
Cameron,0.66,0.33,1862.00,1562.00,3718.00,0.59,0.39,1835.00,1566.00,3734.00,0.64,0.34,1764.00,1500.00,3651.00,0.73,0.24,1652.00,1211.00,3232.00,0.73,0.26,1785.00,933.00,3112.00
Carbon,0.50,0.49,14626.00,17807.00,36620.00,0.48,0.50,14737.00,20075.00,39596.00,0.53,0.45,14758.00,19020.00,39017.00,0.65,0.31,17683.00,18387.00,42228.00,0.65,0.33,21822.00,17831.00,46981.00
Centre,0.52,0.48,38367.00,32867.00,86832.00,0.44,0.55,40801.00,46531.00,106075.00,0.49,0.49,42979.00,46828.00,112949.00,0.46,0.49,47653.00,51155.00,123341.00,0.47,0.52,44591.00,46881.00,112098.00
Chester,0.52,0.48,170419.00,98765.00,324747.00,0.45,0.54,150118.00,124640.00,325692.00,0.50,0.49,150692.00,128351.00,337822.00,0.43,0.53,155458.00,136990.00,354459.00,0.41,0.58,155381.00,157378.00,380357.00
Clarion,0.64,0.35,12148.00,9638.00,23832.00,0.60,0.38,12534.00,10515.00,25508.00,0.67,0.31,12339.00,9274.00,24120.00,0.72,0.24,13088.00,8249.00,24090.00,0.75,0.24,14807.00,6839.00,24390.00
Clearfield,0.60,0.39,22768.00,22226.00,49499.00,0.55,0.43,23056.00,23462.00,51471.00,0.64,0.35,23443.00,22249.00,51174.00,0.73,0.24,26296.00,20717.00,53226.00,0.74,0.25,28512.00,15482.00,49699.00
Clinton,0.58,0.42,9328.00,9018.00,20439.00,0.51,0.48,9645.00,10836.00,23010.00,0.55,0.43,9806.00,10284.00,22969.00,0.65,0.31,10190.00,9157.00,22303.00,0.68,0.31,11908.00,7613.00,22387.00
Columbia,0.60,0.40,18640.00,18422.00,42934.00,0.52,0.47,19439.00,20966.00,47262.00,0.56,0.43,16759.00,17054.00,39888.00,0.64,0.32,18419.00,16135.00,40868.00,0.64,0.34,20139.00,13676.00,39888.00
Crawford,0.57,0.42,30037.00,23212.00,58569.00,0.54,0.44,29808.00,26319.00,62368.00,0.59,0.39,26700.00,21995.00,54711.00,0.67,0.29,27642.00,19419.00,53386.00,0.68,0.31,31138.00,18421.00,56588.00
Cumberland,0.64,0.36,81752.00,42970.00,144727.00,0.56,0.43,78539.00,52867.00,152349.00,0.58,0.40,81204.00,52805.00,158194.00,0.57,0.39,85322.00,55715.00,166965.00,0.55,0.44,92614.00,64058.00,187257.00
Dauphin,0.54,0.46,83699.00,67345.00,173227.00,0.45,0.54,81851.00,86853.00,192724.00,0.46,0.52,74144.00,81749.00,178924.00,0.47,0.49,76863.00,86930.00,190301.00,0.45,0.54,77465.00,90046.00,197820.00
Delaware,0.42,0.57,213030.00,131317.00,386603.00,0.39,0.60,190681.00,172138.00,405968.00,0.39,0.60,176167.00,174595.00,397338.00,0.37,0.60,171598.00,189167.00,412854.00,0.36,0.63,160882.00,208138.00,425406.00
Elk,0.54,0.45,7930.00,11026.00,21017.00,0.47,0.51,7324.00,11209.00,20541.00,0.57,0.41,7564.00,10634.00,20302.00,0.69,0.27,8467.00,9526.00,20244.00,0.72,0.27,10625.00,7606.00,20590.00
Erie,0.46,0.54,73308.00,92922.00,184618.00,0.39,0.59,62858.00,102053.00,185069.00,0.41,0.57,60196.00,95438.00,176851.00,0.49,0.47,67494.00,97597.00,190222.00,0.49,0.50,74620.00,98969.00,202689.00
Fayette,0.46,0.53,21421.00,61475.00,88934.00,0.50,0.49,21933.00,62882.00,91386.00,0.54,0.45,23640.00,60441.00,91681.00,0.64,0.33,27923.00,48602.00,83852.00,0.66,0.33,34499.00,39846.00,82373.00
Forest,0.61,0.38,1715.00,1248.00,3152.00,0.56,0.42,1588.00,1469.00,3275.00,0.60,0.39,1593.00,1384.00,3232.00,0.70,0.26,1750.00,1269.00,3330.00,0.71,0.28,1971.00,1153.00,3508.00
Franklin,0.71,0.28,48084.00,24235.00,82081.00,0.66,0.33,50047.00,27739.00,88787.00,0.69,0.30,49601.00,25731.00,87406.00,0.71,0.25,54576.00,25117.00,93018.00,0.71,0.28,61357.00,25023.00,100974.00
Fulton,0.76,0.24,5025.00,3269.00,8930.00,0.74,0.25,5514.00,3494.00,9824.00,0.78,0.21,5430.00,3025.00,9344.00,0.84,0.13,5714.00,2537.00,9187.00,0.86,0.14,6801.00,2013.00,9836.00
Greene,0.50,0.49,6514.00,17151.00,25244.00,0.49,0.49,6778.00,17113.00,25682.00,0.58,0.40,6541.00,14283.00,22663.00,0.69,0.28,8060.00,12474.00,22590.00,0.71,0.28,10421.00,10135.00,22813.00
Huntingdon,0.67,0.33,16987.00,9782.00,29681.00,0.63,0.36,16819.00,10704.00,30541.00,0.68,0.31,16210.00,9673.00,28824.00,0.74,0.23,17484.00,9214.00,29781.00,0.75,0.24,18021.00,7470.00,28426.00
Indiana,0.56,0.44,23699.00,23770.00,53670.00,0.53,0.46,24149.00,26639.00,58052.00,0.59,0.40,23873.00,24884.00,57378.00,0.66,0.31,24193.00,20612.00,51853.00,0.68,0.31,27196.00,17987.00,51797.00
Jefferson,0.68,0.31,15213.00,11289.00,28847.00,0.64,0.34,15541.00,11790.00,30073.00,0.72,0.26,15305.00,10324.00,28549.00,0.78,0.19,16971.00,9579.00,29926.00,0.79,0.20,20008.00,8374.00,32040.00
Juniata,0.71,0.28,7875.00,4757.00,13763.00,0.67,0.32,8051.00,5000.00,14293.00,0.72,0.27,7850.00,4421.00,13547.00,0.79,0.17,8444.00,3970.00,13840.00,0.80,0.19,9635.00,3364.00,14490.00
